Grid Size (m),L2-Norm of Error,Convergence Rate (q)
101,0.0077336893923288,6.126901413406639
201,0.0001140803917668,3.927429555408522
401,7.571555772315749e-06,4.201578536100848
601,1.383060926407512e-06,4.5612889034508886
801,3.730644187627517e-07,-
