x,Pressure (p),Velocity (v)
-1.0,7.440151952041672e-44,0.0002532966173060744
-0.99,-8.389957948912146e-06,-0.0001722312465365357
-0.98,3.795886694160137e-05,0.00033129546293258187
-0.97,6.859036253945322e-06,-6.6801849876127825e-06
-0.96,-3.6890298227926696e-05,-7.791594033308827e-05
-0.95,4.306272689944467e-05,7.625429660867522e-05
-0.94,-6.134742389886602e-05,-0.00010176849756677929
-0.9299999999999999,7.531081648675369e-05,0.00011909166495227745
-0.92,-9.043455307525845e-05,-0.0001360896840416796
-0.91,0.00010263073844717693,0.00014886750954801726
-0.9,-0.00011307429429871137,-0.00015875195850079037
-0.89,0.00012073614570758897,0.0001649293196336143
-0.88,-0.00012452987099750203,-0.00016650911651038363
-0.87,0.00012535644113083582,0.000164576905932765
-0.86,-0.000121496286977629,-0.00015758143565105127
-0.85,0.00011434962264777443,0.00014707222400982858
-0.84,-0.00010285248861153388,-0.0001321141767408046
-0.83,8.813923152773315e-05,0.00011394959433026944
-0.8200000000000001,-7.019389371194872e-05,-9.264993462214018e-05
-0.81,4.982192636042389e-05,6.90885649458357e-05
-0.8,-2.7812825757824255e-05,-4.410493556205211e-05
-0.79,4.858141856269392e-06,1.8424467826659056e-05
-0.78,1.7887316620175075e-05,6.778158647083716e-06
-0.77,-3.970368408535778e-05,-3.077504402209969e-05
-0.76,5.94461233319095e-05,5.2423007500887236e-05
-0.75,-7.640395962342674e-05,-7.102067211367021e-05
-0.74,8.968962861559036e-05,8.569551853712059e-05
-0.73,-9.875722432852593e-05,-9.59207340858682e-05
-0.72,0.00010312195407410933,0.00010123318731346464
-0.71,-0.00010256943193296795,-0.00010144146933481063
-0.7,9.708927228936105e-05,9.655846145642976e-05
-0.69,-8.689570864259064e-05,-8.682114375371717e-05
-0.6799999999999999,7.245617703437908e-05,7.271856669925892e-05
-0.6699999999999999,-5.4403294678636805e-05,-5.490339518268603e-05
-0.6599999999999999,3.3613592160218373e-05,3.427035949389868e-05
