x,Pressure (p),Velocity (v)
-1.0,-1.603810890548638e-28,-1.603810890548638e-28
-0.99,-7.8646859357664195e-28,-7.8646859357664195e-28
-0.98,-3.7802778447760985e-27,-3.7802778447760985e-27
-0.97,-1.7810666347570803e-26,-1.7810666347570803e-26
-0.96,-8.225280651606685e-26,-8.225280651606685e-26
-0.95,-3.7233631217505106e-25,-3.7233631217505106e-25
-0.94,-1.6520917823142836e-24,-1.6520917823142836e-24
-0.9299999999999999,-7.1853356359022e-24,-7.1853356359022e-24
-0.92,-3.06319086457743e-23,-3.06319086457743e-23
-0.91,-1.2800153190516281e-22,-1.2800153190516281e-22
-0.9,-5.242885663363464e-22,-5.242885663363464e-22
-0.89,-2.1049399783397206e-21,-2.1049399783397206e-21
-0.88,-8.283677007682918e-21,-8.283677007682918e-21
-0.87,-3.1953667177483426e-20,-3.1953667177483426e-20
-0.86,-1.2081820198999795e-19,-1.2081820198999795e-19
-0.85,-4.4777324417183015e-19,-4.4777324417183015e-19
-0.84,-1.6266646214532545e-18,-1.6266646214532545e-18
-0.83,-5.792312885394871e-18,-5.792312885394871e-18
-0.8200000000000001,-2.0217158486953177e-17,-2.0217158486953177e-17
-0.81,-6.916753975541393e-17,-6.916753975541393e-17
-0.8,-2.3195228302435366e-16,-2.3195228302435366e-16
-0.79,-7.624459905389723e-16,-7.624459905389723e-16
-0.78,-2.4565953687921255e-15,-2.4565953687921255e-15
-0.77,-7.758402075696056e-15,-7.758402075696056e-15
-0.76,-2.4017347816209437e-14,-2.4017347816209437e-14
-0.75,-7.287724095819692e-14,-7.287724095819692e-14
-0.74,-2.167568882618954e-13,-2.167568882618954e-13
-0.73,-6.319285885175368e-13,-6.319285885175368e-13
-0.72,-1.8058314375132107e-12,-1.8058314375132107e-12
-0.71,-5.058252742843803e-12,-5.058252742843803e-12
-0.7,-1.3887943864964021e-11,-1.3887943864964021e-11
-0.69,-3.7375713279442825e-11,-3.7375713279442825e-11
-0.6799999999999999,-9.859505575991516e-11,-9.859505575991516e-11
-0.6699999999999999,-2.5493818803919876e-10,-2.5493818803919876e-10
-0.6599999999999999,-6.461431773106131e-10,-6.461431773106131e-10
-0.6499999999999999,-1.605228055185623e-09,-1.605228055185623e-09
-0.64,-3.90893843426485e-09,-3.90893843426485e-09
-0.63,-9.330287574505005e-09,-9.330287574505005e-09
-0.62,-2.182957795125478e-08,-2.182957795125478e-08
-0.61,-5.006218020767049e-08,-5.006218020767049e-08
-0.6,-1.1253517471925912e-07,-1.1253517471925912e-07
-0.59,-2.479596018045032e-07,-2.479596018045032e-07
-0.5800000000000001,-5.355347802793061e-07,-5.355347802793061e-07
-0.5700000000000001,-1.1337271387479562e-06,-1.1337271387479562e-06
-0.56,-2.352575200009758e-06,-2.352575200009758e-06
-0.55,-4.785117392128975e-06,-4.785117392128975e-06
-0.54,-9.54016287307918e-06,-9.54016287307918e-06
-0.53,-1.8643742331516753e-05,-1.8643742331516753e-05
-0.52,-3.571284964163508e-05,-3.571284964163508e-05
-0.51,-6.705482430281089e-05,-6.705482430281089e-05
-0.5,-0.0001234098040866791,-0.0001234098040866791
-0.49,-0.0002226298569188886,-0.0002226298569188886
-0.48,-0.0003936690406550776,-0.0003936690406550776
-0.47,-0.000682328052756376,-0.000682328052756376
-0.45999999999999996,-0.0011592291739045905,-0.00115922917390459
-0.44999999999999996,-0.0019304541362277097,-0.0019304541362277089
-0.43999999999999995,-0.003151111598444443,-0.0031511115984444397
-0.42999999999999994,-0.005041760259690989,-0.005041760259690977
-0.42000000000000004,-0.007907054051593441,-0.0079070540515934
-0.41000000000000003,-0.012155178329914983,-0.012155178329914845
-0.4,-0.01831563888873438,-0.018315638888733915
-0.39,-0.027051846866351117,-0.02705184686634959
-0.38,-0.03916389509898947,-0.039163895098984554
-0.37,-0.05557621261149075,-0.05557621261147523
-0.36,-0.0773047404433237,-0.07730474044327565
-0.35,-0.10539922456193712,-0.10539922456179138
-0.33999999999999997,-0.1408584209212617,-0.1408584209208282
-0.32999999999999996,-0.18451952399362118,-0.1845195239923573
-0.31999999999999995,-0.2369277586839276,-0.23692775868031593
-0.30999999999999994,-0.2981972794349457,-0.2981972794248292
-0.29999999999999993,-0.36787944118533045,-0.36787944115755455
-0.29000000000000004,-0.4448580662603162,-0.4448580661855648
