x,Pressure (p),Velocity (v)
-1.0,7.440151952041672e-44,1.4152584282886773e-05
-0.995,-7.116324967406616e-07,-1.1201160409791332e-05
-0.99,4.622217820934431e-06,3.1672212144334866e-05
-0.985,-2.501633796894478e-06,-9.724889607778038e-06
-0.98,2.2054274834028975e-06,6.1887591913292026e-06
-0.975,-1.6176677679577923e-06,-4.6133323988462574e-06
-0.97,1.5815565257944953e-06,4.3396994913365195e-06
-0.965,-1.400266553259823e-06,-3.7442207068560505e-06
-0.96,1.1883900875702343e-06,3.155928766271045e-06
-0.955,-9.434271959833995e-07,-2.5514093650197086e-06
-0.95,6.61450700910132e-07,1.9275577381062363e-06
-0.945,-3.4662730778627294e-07,-1.2898163995133966e-06
-0.94,-5.142259005137302e-10,6.392134279376999e-07
-0.935,3.78292539971296e-07,2.2149937318894636e-08
-0.9299999999999999,-7.830470271986821e-07,-6.903715618045381e-07
-0.925,1.214647947247284e-06,1.365241086842733e-06
-0.92,-1.6671715513623685e-06,-2.040902872288806e-06
-0.915,2.1412878624501438e-06,2.7182323606061276e-06
-0.91,-2.6297475428762915e-06,-3.3903107780258755e-06
-0.905,3.1332720735031595e-06,4.058303017485761e-06
-0.9,-3.6441751542643997e-06,-4.715066657803922e-06
-0.895,4.162627854801885e-06,5.361404796706238e-06
-0.89,-4.681221352675846e-06,-5.990616643381969e-06
-0.885,5.199207670964761e-06,6.602726389428399e-06
-0.88,-5.709934680787646e-06,-7.191906766962627e-06
-0.875,6.211621697342309e-06,7.757243596431247e-06
-0.87,-6.698616863412492e-06,-8.293982707828464e-06
-0.865,7.1682158077726496e-06,8.800338723070074e-06
-0.86,-7.615818763265961e-06,-9.27264291356032e-06
-0.855,8.038063430050766e-06,9.708467544098583e-06
-0.85,-8.431328412062262e-06,-1.010512142750495e-05
-0.845,8.79193871690946e-06,1.0459848337028928e-05
-0.84,-9.117119913648182e-06,-1.0770774744779458e-05
-0.835,9.403239013804704e-06,1.1035145087022673e-05
-0.83,-9.648233930473454e-06,-1.125174627875428e-05
-0.825,9.848826411808587e-06,1.1418116414390758e-05
-0.8200000000000001,-1.0003562976192537e-05,-1.1533582197863474e-05
-0.815,1.0109761690270236e-05,1.1596202813905737e-05
-0.81,-1.0166518103773304e-05,-1.1605773640806963e-05
-0.8049999999999999,1.0171907912891579e-05,1.156102721663715e-05
-0.8,-1.0125557367096853e-05,-1.146220255365131e-05
-0.7949999999999999,1.0026386122236156e-05,1.1308787382351103e-05
-0.79,-9.874561169946151e-06,-1.1101471926444293e-05
-0.785,9.669870708343337e-06,1.0840523064994368e-05
-0.78,-9.413044455605004e-06,-1.0527105282619183e-05
-0.775,9.104717568054856e-06,1.016224557350137e-05
-0.77,-8.746201104982965e-06,-9.747605187087149e-06
-0.765,8.338923559709961e-06,9.28492267548644e-06
-0.76,-7.884781092789128e-06,-8.776365828153024e-06
-0.755,7.385920832455624e-06,8.224316888476832e-06
-0.75,-6.84480623643459e-06,-7.631439919456468e-06
-0.745,6.264214527490604e-06,7.000680356644098e-06
-0.74,-5.647134946798204e-06,-6.335165444713832e-06
-0.735,4.996876599751955e-06,5.638314290503736e-06
-0.73,-4.316890802547494e-06,-4.913662456322172e-06
-0.725,3.6109123434792076e-06,4.165005403797625e-06
-0.72,-2.882773278789501e-06,-3.3962144935986568e-06
-0.715,2.136519310236031e-06,2.611355480291731e-06
-0.71,-1.3762721258702135e-06,-1.8145529021218815e-06
-0.7050000000000001,6.062606634810963e-07,1.0100233311549533e-06
-0.7,1.6919063233899943e-07,-2.0206552485582427e-07
-0.6950000000000001,-9.458234842602838e-07,-6.050994741818279e-07
-0.69,1.7191648221206665e-06,1.4070457032670226e-06
-0.685,-2.485143178384312e-06,-2.199757076212988e-06
-0.6799999999999999,3.2390934591048535e-06,2.9786307163260575e-06
-0.675,-3.977502566017662e-06,-3.740221234466513e-06
-0.6699999999999999,4.695218256413354e-06,4.479448358203794e-06
-0.665,-5.390045010662272e-06,-5.1941916699535434e-06
-0.6599999999999999,6.055427675493914e-06,5.877973245627283e-06
-0.655,-6.692197631678778e-06,-6.531702933832474e-06
-0.6499999999999999,7.289987520619021e-06,7.145092258947814e-06
-0.645,-7.856643017451201e-06,-7.726065518168763e-06
-0.64,8.372054152809155e-06,8.254590472823957e-06
-0.635,-8.86040768956649e-06,-8.754930197297926e-06
-0.63,9.277786633713122e-06,9.183242169498554e-06
-0.625,-9.686281793455591e-06,-9.601689442623234e-06
-0.62,9.985702873597238e-06,9.910151446503352e-06
-0.615,-1.0325032089154766e-05,-1.0257677364760218e-05
-0.61,1.0474586248431372e-05,1.0414648027311215e-05
-0.605,-1.0779348331717411e-05,-1.0726107376450042e-05
-0.6,1.0718598885734146e-05,1.0671393767924546e-05
-0.595,-1.1071361608840346e-05,-1.1029585509699468e-05
-0.59,1.0677047138278786e-05,1.0640144652364271e-05
-0.585,-1.1257215020285938e-05,-1.1224678971917362e-05
-0.5800000000000001,1.0274059302866967e-05,1.0245427609493202e-05
-0.575,-1.1455078211261479e-05,-1.1429930831127382e-05
-0.5700000000000001,9.359613815268107e-06,9.337569763511188e-06
-0.565,-1.1897998866090011e-05,-1.1878713350534598e-05
-0.56,7.636891164497805e-06,7.620052826805244e-06
-0.5549999999999999,-1.3031294511024252e-05,-1.301662280634433e-05
-0.55,4.53036166206531e-06,4.517604337029877e-06
-0.5449999999999999,-1.5687510127487016e-05,-1.567644087155579e-05
-0.54,-1.047598271713223e-06,-1.0571820647900795e-06
-0.5349999999999999,-2.139251463789624e-05,-2.138423530447264e-05
-0.53,-1.1098881349591684e-05,-1.1106017569379643e-05
-0.5249999999999999,-3.2886678251999665e-05,-3.288054161562256e-05
-0.52,-2.921420512822212e-05,-2.921946957826587e-05
-0.515,-5.498784891951725e-05,-5.4983343809673885e-05
-0.51,-6.167336977821524e-05,-6.167721527598546e-05
-0.505,-9.597979069237634e-05,-9.597651683723392e-05
-0.5,-0.00011918861054703979,-0.00011919139016257932
-0.495,-0.00016978042708261728,-0.00016977807373108893
-0.49,-0.000219584607145497,-0.00021958659379813715
-0.485,-0.0002992240259942845,-0.00029922235396912363
-0.48,-0.00039178934122158,-0.00039179074405783877
-0.475,-0.0005208690441196815,-0.0005208678709142826
-0.47,-0.0006815793995269805,-0.0006815803774542882
-0.46499999999999997,-0.0008917980581733465,-0.0008917972457305579
-0.45999999999999996,-0.0011595553636170961,-0.0011595560363372455
-0.45499999999999996,-0.0014988761204456464,-0.0014988755651933
-0.44999999999999996,-0.001931779870544388,-0.0019317803274996957
-0.44499999999999995,-0.0024708358088618063,-0.0024708354336952605
-0.43999999999999995,-0.003153345018406675,-0.00315334532596388
-0.43499999999999994,-0.0039933103315885985,-0.003993310079462193
-0.42999999999999994,-0.0050447952002671236,-0.005044795407424826
-0.42499999999999993,-0.006326490414146715,-0.006326490242980714
-0.42000000000000004,-0.007910771932989322,-0.007910772075893111
-0.41500000000000004,-0.009824402169345802,-0.009824402048026504
-0.41000000000000003,-0.012159449801441301,-0.01215944990696638
-0.405,-0.014953893481454043,-0.01495389338665924
-0.4,-0.018320325580495126,-0.01832032566904684
-0.395,-0.02231033618167133,-0.022310336095350183
-0.39,-0.027056803818419056,-0.027056803906179934
-0.385,-0.03262593967607192,-0.0326259395834468
-0.38,-0.03916897453584354,-0.039168974636594835
-0.375,-0.04676565526026815,-0.046765655148170965
-0.37,-0.055581269616480564,-0.05558126974310915
-0.365,-0.0657052311720137,-0.0657052310274616
-0.36,-0.07730964070193375,-0.07730964086778833
-0.355,-0.09048639409998399,-0.09048639390886133
-0.35,-0.10540385369615246,-0.10540385391626378
-0.345,-0.12214568610180464,-0.12214568584755894
-0.33999999999999997,-0.14086269414617744,-0.14086269443845387
-0.33499999999999996,-0.16161635008913594,-0.16161634975131742
-0.32999999999999996,-0.18452339411170868,-0.18452339449809763
-0.32499999999999996,-0.20960677534360309,-0.20960677489601884
-0.31999999999999995,-0.236931220072277,-0.23693122057969312
-0.31499999999999995,-0.2664640197234519,-0.2664640191314373
-0.30999999999999994,-0.29820036593254284,-0.29820036659303495
-0.30499999999999994,-0.332036112856216,-0.33203611207188277
-0.29999999999999993,-0.36788221677666993,-0.3678822176252438
-0.29500000000000004,-0.40555122744532474,-0.40555122639805136
-0.29000000000000004,-0.4448606090815172,-0.44486061014760353
-0.28500000000000003,-0.48553426261912275,-0.48553426119472565
-0.28,-0.5272948062560087,-0.527294807538609
-0.275,-0.569780890123933,-0.5697808881168044
-0.27,-0.6126286614947271,-0.6126286628974809
-0.265,-0.6554050174823305,-0.6554050144839014
-0.26,-0.6976784824158171,-0.6976784835865956
-0.255,-0.7389678878083532,-0.7389678829477639
-0.25,-0.7788027845249866,-0.7788027844741101
-0.245,-0.8166863989056666,-0.8166863902542608
-0.24,-0.8521455498464213,-0.8521455460643231
-0.235,-0.8847061755590923,-0.884706158786227
-0.22999999999999998,-0.9139325964896253,-0.9139325829593361
-0.22499999999999998,-0.9394135089766799,-0.939413474374964
-0.21999999999999997,-0.9607903960886338,-0.9607903589156094
-0.21499999999999997,-0.9777516974881162,-0.9777516235273812
-0.20999999999999996,-0.9900502691124501,-0.9900501771374183
-0.20499999999999996,-0.9975034887773173,-0.9975033284391855
-0.19999999999999996,-0.9999999174257761,-0.9999997025220717
-0.19499999999999995,-0.9975033755361757,-0.997503027984797
-0.18999999999999995,-0.9900493412481389,-0.9900488579117771
-0.18499999999999994,-0.9777514833520597,-0.9777507365266903
-0.17999999999999994,-0.9607887887959329,-0.9607877331648526
-0.17499999999999993,-0.9394135839797203,-0.9394120009138226
-0.16999999999999993,-0.9139308376154045,-0.9139285889315767
-0.16500000000000004,-0.8847072490873107,-0.8847039479871864
-0.16000000000000003,-0.8521445392972123,-0.8521398567657861
-0.15500000000000003,-0.8166896437462707,-0.8166828824836732
-0.15000000000000002,-0.7788040146806716,-0.778794471492745
-0.14500000000000002,-0.7389752608292341,-0.7389616704921534
-0.14,-0.6976844987980779,-0.6976654506503248
-0.135,-0.6554198995843844,-0.6553931046360022
-0.13,-0.6126439427545735,-0.6126066935323475
-0.125,-0.5698092692945737,-0.5697574640633264
-0.12,-0.527327341844476,-0.5272559619174045
-0.11499999999999999,-0.4855868052499194,-0.4854886030904065
-0.10999999999999999,-0.4449246003926879,-0.4447905462684997
-0.10499999999999998,-0.4056467607727953,-0.4054642649481721
