x,Pressure (p),Velocity (v)
-1.0,7.440151952041672e-44,1.4200075731040416e-16
-0.995,4.072690570457265e-17,7.607383331820532e-16
-0.99,1.8731082496609126e-15,1.187949218814905e-15
-0.985,6.608519069161119e-16,-1.6610249152011134e-15
-0.98,1.589469210991627e-15,7.708936638851664e-16
-0.975,2.0517478541322251e-16,-1.221453426314347e-15
-0.97,1.2454612180454576e-15,1.9963298833722158e-15
-0.965,-1.1707554406485608e-15,8.963901285510447e-16
-0.96,1.6535394468442668e-15,-8.241899215066546e-16
-0.955,-7.887173212890974e-16,-9.528749990407626e-16
-0.95,1.5328901440452461e-15,2.426634378141643e-16
-0.945,-7.73560193307796e-16,-1.048015144808745e-15
-0.94,1.7621565866975063e-16,5.044285561851773e-16
-0.935,1.8383592719694326e-15,-1.218071922211549e-16
-0.9299999999999999,2.18565039614937e-15,3.712772927238864e-16
-0.925,-2.321584831552939e-15,5.38156426967993e-16
-0.92,-4.764158565789451e-17,4.655895678881128e-16
-0.915,8.095919166902456e-16,-1.4266226100217544e-15
-0.91,5.018719194901432e-16,-2.681133386747963e-16
-0.905,6.54039357617597e-16,2.9964759100837367e-16
-0.9,1.4954858413509238e-16,-1.181953487506249e-15
-0.895,1.014998680149738e-15,1.9003159070524955e-16
-0.89,7.684565009434908e-16,1.1744133238611815e-15
-0.885,1.1600081003898872e-15,-7.904679592864187e-16
-0.88,2.9351310547880075e-16,1.415705256540526e-15
-0.875,-1.6610487400598027e-16,2.110981336604094e-15
-0.87,3.756328377216704e-16,-4.311462021409367e-16
-0.865,1.2967949076983224e-15,-3.762680756256467e-16
-0.86,-9.578931049104439e-16,-1.990664933253822e-16
-0.855,3.548232708477036e-16,2.7218753728906914e-16
-0.85,1.1664238869329485e-15,4.574811260193491e-16
-0.845,-1.7386629304072908e-16,-9.302777586214264e-17
-0.84,-1.433582529607229e-15,1.9946316428871516e-15
-0.835,1.781834592937242e-15,8.302515674006545e-16
-0.83,3.193180365096548e-17,1.4869608847229075e-15
-0.825,8.661606499721482e-16,-8.838081519986804e-16
-0.8200000000000001,2.666810129829907e-15,-1.678499265120613e-15
-0.815,-1.0654358035125457e-15,3.7203108376344126e-16
-0.81,-4.969899568779343e-16,4.616587021408697e-16
-0.8049999999999999,-3.2620332192295564e-16,1.2043263648809364e-16
-0.8,6.752056486674104e-16,5.196447784540919e-16
-0.7949999999999999,6.939082397347625e-16,-2.2751333327529463e-16
-0.79,-9.640675760560244e-16,2.175582718456434e-15
-0.785,-1.0883468565088174e-15,-2.7751649397222348e-15
-0.78,-2.5753491066983892e-15,-4.1365328633041814e-15
-0.775,-3.3031491454459567e-15,-4.365504081290344e-15
-0.77,-6.163999532906942e-15,-7.074883479894476e-15
-0.765,-1.5590423544196288e-14,-1.3997988276093893e-14
-0.76,-2.2054260722410334e-14,-2.5485480169400657e-14
-0.755,-4.1635346176049664e-14,-4.113613082247378e-14
-0.75,-7.398083575570046e-14,-7.466803991430298e-14
-0.745,-1.2549446529016258e-13,-1.2722937307987643e-13
-0.74,-2.1594950761917642e-13,-2.1670122647792106e-13
-0.735,-3.702076218618014e-13,-3.6799005452318495e-13
-0.73,-6.276274608139742e-13,-6.30164244947952e-13
-0.725,-1.0675858971838607e-12,-1.0695125780981547e-12
-0.72,-1.8020300953235597e-12,-1.802579385448827e-12
-0.715,-3.0225763084317142e-12,-3.023084602887422e-12
-0.71,-5.047693414514233e-12,-5.047892607346262e-12
-0.7050000000000001,-8.388607639517588e-12,-8.386602149299403e-12
-0.7,-1.386377519105544e-11,-1.3864503718189955e-11
-0.6950000000000001,-2.2802510281879348e-11,-2.280293480774325e-11
-0.69,-3.732088435370486e-11,-3.7320808902617754e-11
-0.685,-6.077515082020897e-11,-6.077341614659723e-11
-0.6799999999999999,-9.847000052246599e-11,-9.847266844120068e-11
-0.675,-1.587544010276514e-10,-1.5875642222975802e-10
-0.6699999999999999,-2.546644512062353e-10,-2.546659770104727e-10
-0.665,-4.0647520380740477e-10,-4.064790081523155e-10
-0.6599999999999999,-6.455496725669087e-10,-6.455552804857817e-10
-0.655,-1.02012348693698e-09,-1.0201314378970003e-09
-0.6499999999999999,-1.6039857937122892e-09,-1.6039970783906571e-09
-0.645,-2.509430086066503e-09,-2.5094485240713704e-09
-0.64,-3.906399940105785e-09,-3.906425035522644e-09
-0.635,-6.050688036214058e-09,-6.0507259552070335e-09
-0.63,-9.325241346586377e-09,-9.32528788555698e-09
-0.625,-1.4300200514602664e-08,-1.4300264570036905e-08
-0.62,-2.1819820459887236e-08,-2.1819912428473507e-08
-0.615,-3.312740052998117e-08,-3.312752233113917e-08
-0.61,-5.0043850287545735e-08,-5.0044015165520855e-08
-0.605,-7.522138202357689e-08,-7.522160586582797e-08
-0.6,-1.1250173233609189e-07,-1.1250203152724904e-07
-0.595,-1.674189076867357e-07,-1.6741930357652793e-07
-0.59,-2.47900412504226e-07,-2.479009324753402e-07
-0.585,-3.652393061133807e-07,-3.6523998434692347e-07
-0.5800000000000001,-5.354332617544621e-07,-5.354341410652447e-07
-0.575,-7.810176071687925e-07,-7.810187353054991e-07
-0.5700000000000001,-1.1335586615088886e-06,-1.1335600958402309e-06
-0.565,-1.6370235430528467e-06,-1.6370253591678467e-06
-0.56,-2.3523051411041887e-06,-2.3523074094693e-06
-0.5549999999999999,-3.3632584769983467e-06,-3.363261289729953e-06
-0.55,-4.784700270345583e-06,-4.784703721118178e-06
-0.5449999999999999,-6.772939234680968e-06,-6.772943427479555e-06
-0.54,-9.539543999023606e-06,-9.539549037557581e-06
-0.5349999999999999,-1.3369220538289652e-05,-1.3369226528720648e-05
-0.53,-1.8642864134968804e-05,-1.8642871172489835e-05
-0.5249999999999999,-2.5867073327501584e-05,-2.5867081483152695e-05
-0.52,-3.5711665217892446e-05,-3.571167454188407e-05
-0.515,-4.90570117268158e-05,-4.905702222047948e-05
-0.51,-6.705332069806126e-05,-6.70533323087374e-05
-0.505,-9.119430803339799e-05,-9.11943206161706e-05
-0.5,-0.00012340803669261513,-0.00012340805001223798
-0.495,-0.00016616802132980266,-0.0001661680350272919
-0.49,-0.00022262799353924337,-0.00022262800710864665
-0.485,-0.00029678396765077093,-0.00029678398043070077
-0.48,-0.00039366740923615115,-0.00039366742037861863
-0.475,-0.00051957335099769,-0.0005195733594606597
-0.47,-0.0006823271803092998,-0.0006823271848674443
-0.46499999999999997,-0.0008915934910634693,-0.0008915934902989827
-0.45999999999999996,-0.0011592297972004314,-0.0011592297895432742
-0.45499999999999996,-0.001499686992774164,-0.0014996869765351068
-0.44999999999999996,-0.001930457159589927,-0.0019304571330162517
-0.44499999999999995,-0.002472567620483434,-0.0024725675818555006
-0.43999999999999995,-0.0031511179738000594,-0.0031511179215180708
-0.43499999999999994,-0.003995854197419892,-0.003995854130143507
-0.42999999999999994,-0.005041770772743228,-0.005041770689524796
-0.42499999999999993,-0.006329728171007849,-0.006329728071452005
-0.42000000000000004,-0.007907069018479793,-0.007907068902917874
-0.41500000000000004,-0.009828211903629619,-0.009828211773266095
