Grid Size (m),L2-Norm of Error,Convergence Rate (q)
101,0.006620026075614,8.961032143879002
201,1.3887819169711628e-05,7.656036558032562
401,7.018087624795796e-08,7.073739117343332
601,4.010051112625557e-09,7.032956935403108
801,5.317799475564215e-10,-
