x,Pressure (p),Velocity (v)
-1.0,7.440151952041672e-44,-1.1146822569638396e-10
-0.99,4.4357065395578945e-10,-2.5928426204428477e-10
-0.98,-1.7351692610359512e-09,5.328398638117364e-12
-0.97,7.841712056384834e-10,4.856501296117565e-10
-0.96,-2.6903782712366097e-10,7.955652704839361e-11
-0.95,5.088138412644966e-10,8.461989165275436e-11
-0.94,-7.607709393030147e-10,-3.503729253818827e-10
-0.9299999999999999,1.6494627373967643e-10,-2.42703833970337e-10
-0.92,-5.827807048292302e-10,-1.7835289889962986e-10
-0.91,6.132322556989451e-10,2.1193326251060023e-10
-0.9,-9.630976154584973e-11,2.9993981963301085e-10
-0.89,6.585223371837028e-10,2.6764151626897053e-10
-0.88,-4.3852864950950073e-10,-5.263987155689409e-11
-0.87,9.42783101364682e-11,-2.845296871241248e-10
-0.86,-7.053069054225021e-10,-3.332361278217634e-10
-0.85,2.5596599000748854e-10,-1.0925462055369658e-10
-0.84,-1.5421591624275022e-10,2.0217194145078002e-10
-0.83,7.037820567292563e-10,3.5539307041331013e-10
-0.8200000000000001,-8.91161927265227e-11,2.5051916974505544e-10
-0.81,2.6083753564857286e-10,-6.83929835607978e-11
-0.8,-6.431821895997404e-10,-3.232678990903127e-10
-0.79,-3.88129359107601e-11,-3.479973038655836e-10
-0.78,-3.9051891875620156e-10,-9.316223047151844e-11
-0.77,5.234855044575917e-10,2.3689039240645413e-10
-0.76,1.0927378384327973e-10,3.831578331913728e-10
-0.75,5.146995102825932e-10,2.5390695909131626e-10
-0.74,-3.561521604626916e-10,-1.0767864839361064e-10
-0.73,-1.1295576797062846e-10,-3.4689012829727015e-10
-0.72,-6.066293661721261e-10,-3.8685536277455165e-10
-0.71,1.567087440301973e-10,-4.921262736838354e-11
-0.7,3.612533929347816e-11,2.2596035608642105e-10
-0.69,6.029985105147664e-10,4.27961529000346e-10
-0.6799999999999999,-5.664446752164167e-11,1.0287106635965354e-10
-0.6699999999999999,-1.633046103830396e-10,-3.0644372578032293e-10
-0.6599999999999999,-1.1887389999346127e-09,-1.062140771251933e-09
-0.6499999999999999,-1.6838765530324354e-09,-1.7968393377892555e-09
-0.64,-3.873116677321424e-09,-3.782493203516648e-09
-0.63,-8.326295298254268e-09,-8.411923691842973e-09
-0.62,-2.0474099067661902e-08,-2.0424363138114315e-08
-0.61,-4.7663974028079844e-08,-4.773311081895157e-08
-0.6,-1.090419842722003e-07,-1.0905170824997969e-07
-0.59,-2.4145515529119065e-07,-2.415418991563893e-07
-0.5800000000000001,-5.240800603629893e-07,-5.24198498572311e-07
-0.5700000000000001,-1.1135172113284828e-06,-1.1136979274709586e-06
-0.56,-2.3195406517356695e-06,-2.3198693213158073e-06
-0.55,-4.7333141538097305e-06,-4.7337299160642565e-06
-0.54,-9.462990069769585e-06,-9.463697904323864e-06
-0.53,-1.853323433525705e-05,-1.8534081179242306e-05
-0.52,-3.556211891313423e-05,-3.5563381419451244e-05
-0.51,-6.686029071093049e-05,-6.686167574244333e-05
-0.5,-0.00012317654440040465,-0.00012317828725246234
-0.49,-0.0002223771955844346,-0.00022237874980372808
-0.48,-0.0003934374505729062,-0.00039343884084330283
-0.47,-0.0006821844464272742,-0.0006821847470344936
-0.45999999999999996,-0.0011592690990967411,-0.0011592680171896884
-0.44999999999999996,-0.001930797481357864,-0.0019307937681863339
-0.43999999999999995,-0.00315188825243544,-0.003151881521596782
-0.42999999999999994,-0.0050430836112657475,-0.0050430728289072475
-0.42000000000000004,-0.007908981047898002,-0.007908966539745479
-0.41000000000000003,-0.012157661360924625,-0.012157643403038473
-0.4,-0.018318477445620148,-0.018318458226456696
-0.39,-0.027054655875045318,-0.027054637967494397
