x,Pressure (p),Velocity (v)
-1.0,-1.603810890548638e-28,-1.603810890548638e-28
-0.9966666666666667,-2.73082790753549e-28,-2.73082790753549e-28
-0.9933333333333333,-4.639491761389274e-28,-4.639491761389274e-28
-0.99,-7.8646859357664195e-28,-7.8646859357664195e-28
-0.9866666666666667,-1.3302316052977386e-27,-1.3302316052977386e-27
-0.9833333333333333,-2.2449570727190426e-27,-2.2449570727190426e-27
-0.98,-3.7802778447760985e-27,-3.7802778447760985e-27
-0.9766666666666667,-6.351470746625581e-27,-6.351470746625581e-27
-0.9733333333333334,-1.0647797533420265e-26,-1.0647797533420265e-26
-0.97,-1.7810666347570803e-26,-1.7810666347570803e-26
-0.9666666666666667,-2.9725930124206747e-26,-2.9725930124206747e-26
-0.9633333333333334,-4.9502329697418425e-26,-4.9502329697418425e-26
-0.96,-8.225280651606685e-26,-8.225280651606685e-26
-0.9566666666666667,-1.363674480672993e-25,-1.363674480672993e-25
-0.9533333333333334,-2.2558260242236758e-25,-2.2558260242236758e-25
-0.95,-3.7233631217505106e-25,-3.7233631217505106e-25
-0.9466666666666667,-6.131970889812275e-25,-6.131970889812275e-25
-0.9433333333333334,-1.0076267238372794e-24,-1.0076267238372794e-24
-0.94,-1.6520917823142836e-24,-1.6520917823142836e-24
-0.9366666666666666,-2.702735623809842e-24,-2.702735623809842e-24
-0.9333333333333333,-4.41171919699597e-24,-4.41171919699597e-24
-0.9299999999999999,-7.1853356359022e-24,-7.1853356359022e-24
-0.9266666666666666,-1.1676727839381582e-23,-1.1676727839381582e-23
-0.9233333333333333,-1.8933467451615282e-23,-1.8933467451615282e-23
-0.92,-3.06319086457743e-23,-3.06319086457743e-23
-0.9166666666666666,-4.9448470173055755e-23,-4.9448470173055755e-23
-0.9133333333333333,-7.964647564963245e-23,-7.964647564963245e-23
-0.91,-1.2800153190516281e-22,-1.2800153190516281e-22
-0.9066666666666666,-2.0525732873536554e-22,-2.0525732873536554e-22
